OrderID,Category,Price,Quantity,CustomerRating
1,Automotive,993.04,9,1.6
2,Sports,83.06,15,2.7
3,Home & Garden,558.32,17,1.6
4,Sports,969.61,4,1.9
5,Sports,527.87,12,4.5
6,Clothing,633.1,5,2.9
7,Home & Garden,698.79,5,3.1
8,Home & Garden,460.0,11,1.7
9,Home & Garden,631.28,6,2.2
10,Sports,588.47,7,1.9
11,Automotive,902.15,14,1.8
12,Home & Garden,54.99,11,3.6
13,Sports,288.15,13,2.0
14,Clothing,950.91,2,3.5
15,Automotive,891.36,7,1.2
16,Clothing,461.1,4,1.6
17,Automotive,623.93,8,2.1
18,Sports,284.61,19,3.4
19,Electronics,196.24,13,3.7
20,Automotive,469.06,14,2.8
21,Clothing,359.82,10,2.8
22,Sports,587.82,11,3.9
23,Automotive,86.96,2,1.1
24,Electronics,974.65,9,2.4
25,Electronics,986.35,17,4.3
26,Home & Garden,701.18,3,3.4
27,Home & Garden,540.74,6,2.3
28,Clothing,316.43,5,4.6
29,Automotive,815.66,5,4.1
30,Automotive,687.88,15,2.1
31,Home & Garden,170.99,17,3.6
32,Automotive,911.82,9,3.4
33,Automotive,824.31,3,2.6
34,Electronics,950.3,17,2.5
35,Home & Garden,728.46,10,2.4
36,Sports,617.28,3,3.5
37,Home & Garden,424.06,18,2.8
38,Sports,933.4,18,4.3
39,Electronics,867.4,17,3.7
40,Clothing,54.77,3,1.3
41,Automotive,36.1,3,3.6
42,Electronics,382.7,6,2.1
43,Automotive,812.45,13,3.4
44,Clothing,987.4,15,3.7
45,Clothing,158.91,9,1.9
46,Electronics,598.19,4,2.8
47,Clothing,387.08,14,1.8
48,Sports,970.22,5,1.2
49,Clothing,843.7,2,2.5
50,Automotive,839.95,11,2.5
51,Automotive,474.01,9,5.0
52,Automotive,420.67,3,2.8
53,Automotive,280.67,9,2.3
54,Sports,65.81,3,3.3
55,Home & Garden,866.08,2,1.4
56,Electronics,814.77,12,4.8
57,Automotive,999.72,10,3.5
58,Clothing,996.67,9,4.0
59,Automotive,559.88,15,1.7
60,Clothing,771.3,8,2.6
61,Clothing,945.32,5,2.7
62,Automotive,851.15,11,4.3
63,Sports,254.87,2,1.0
64,Clothing,456.04,15,2.2
65,Clothing,137.87,6,4.9
66,Automotive,954.51,8,2.9
67,Clothing,610.11,5,2.5
68,Clothing,236.36,16,1.5
69,Automotive,674.98,18,4.9
70,Automotive,621.95,6,1.1
71,Electronics,364.58,5,3.9
72,Sports,122.42,16,4.1
73,Sports,674.86,13,2.0
74,Clothing,525.1,5,3.7
75,Sports,774.6,13,1.4
76,Clothing,524.96,17,2.0
77,Electronics,853.66,18,4.2
78,Automotive,556.39,8,4.5
79,Automotive,565.33,13,3.4
80,Automotive,877.89,19,3.0
81,Sports,409.45,3,1.6
82,Electronics,142.68,8,1.3
83,Sports,38.49,2,1.5
84,Sports,757.59,8,1.9
85,Electronics,624.11,13,2.4
86,Electronics,707.04,13,2.5
87,Electronics,220.83,1,2.4
88,Electronics,145.01,6,2.0
